per_sem;agente;mto_tot_ingresos_soles;cnt_alquileres_mean;cnt_alquileres_std;cnt_dias_alquilados_mean;cnt_dias_alquilados_std;mto_alquiler_soles_std;mto_conserje_soles_mean;mto_conserje_soles_min;mto_conserje_soles_max;mto_conserje_soles_sum;mto_conserje_soles_std;mto_adicionales_soles_mean;mto_adicionales_soles_std;mto_tot_bruto_ingresos_soles_mean;mto_tot_bruto_ingresos_soles_std;porc_mto_alq_mean;porc_mto_alq_max;porc_mto_alq_std;porc_mto_csje_mean;porc_mto_csje_min;porc_mto_csje_max;porc_mto_csje_std;porc_mto_ing_mean;porc_mto_ing_max;ratio_alq_mto_x_unid_mean;ratio_alq_mto_x_unid_std;ratio_csje_mto_x_unid_mean;ratio_csje_mto_x_unid_min;ratio_csje_mto_x_unid_max;ratio_csje_mto_x_unid_std;ratio_alq_mto_x_dia_std;ratio_csje_mto_x_dia_mean;ratio_csje_mto_x_dia_min;ratio_csje_mto_x_dia_max;ratio_csje_mto_x_dia_std
201906;AGENT - 018;7688.12;1;1;3.333333333;3.055050463;1667.555496;0;0;0;0;0;176;304.8409421;1686.666667;1954.082223;0.666666667;1;0.577350269;0;0;0;0;0.620689655;1;960.6666667;857.8119452;0;0;0;0;275.6592099;0;0;0;0
201906;AGENT - 027;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
201906;AGENT - 028;1771;2.333333333;2.309401077;7.666666667;10.69267662;2872.692349;0;0;0;0;0;2479.759333;4295.069156;4908.573333;7931.084497;1;1;0;0;0;0;0;0.792314933;1;573.4666667;435.8073581;0;0;0;0;26.03849714;0;0;0;0
201906;AGENT - 029;242;4;2;10.33333333;7.505553499;1008.921495;0;0;0;0;0;35.93333333;31.11917951;4720.1;3604.041685;1;1;0;0;0;0;0;0.989940608;1;1182.347222;552.2436125;0;0;0;0;75.24030477;0;0;0;0
201907;AGENT - 001;2332;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
201907;AGENT - 002;6347;6.666666667;2.309401077;10;10.39230485;2673.709097;0;0;0;0;0;1144;1881.39107;8716.88;3079.672538;1;1;0;0;0;0;0;0.902183771;1;1112.496333;287.6708671;0;0;0;0;4.654138613;0;0;0;0
201907;AGENT - 004;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
201907;AGENT - 006;1771;2;1;8.333333333;5.686240703;1644.870917;0;0;0;0;0;2656.133333;1443.116715;5061.466667;3087.87954;1;1;0;0;0;0;0;0.439546569;0.491935484;1100.611111;585.9510392;0;0;0;0;46.23555268;0;0;0;0
201907;AGENT - 010;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
201907;AGENT - 012;4345;5;0;12.66666667;1.527525232;447.7689136;0;0;0;0;0;5612.185333;3164.617329;11284.66467;4866.772362;0.972826087;1;0.047066598;0;0;0;0;0.358615681;0.654368932;690.8;89.55378272;0;0;0;0;11.6615392;0;0;0;0
201907;AGENT - 015;1375;1;1;3.333333333;4.932882862;1161.07766;0;0;0;0;0;112.24;159.3501682;889.5733333;1320.328932;0.666666667;1;0.577350269;0;0;0;0;0.572327336;0.877575697;425.3333333;557.1403175;0;0;0;0;131.4556678;0;0;0;0
201907;AGENT - 018;3784.55;1;1;2.666666667;2.309401077;1378.896728;0;0;0;0;0;513.04;888.6113463;1841.29;2209.855822;0.666666667;1;0.577350269;0;0;0;0;0.547129029;1;869.4583333;756.4253963;0;0;0;0;158.6442561;0;0;0;0
201907;AGENT - 027;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
201907;AGENT - 028;1771;3;2;10;9.539392014;2553.04289;0;0;0;0;0;3182.019333;3834.425512;6241.5;7096.713333;1;1;0;0;0;0;0;0.634104794;1;685.9111111;427.593916;0;0;0;0;24.49338619;0;0;0;0
201907;AGENT - 029;4686;3.666666667;2.081665999;11.33333333;6.806859286;2556.301153;0;0;0;0;0;17.96666667;31.11917951;6018.466667;2894.135398;1;1;0;0;0;0;0;0.997970762;1;1681.777778;315.6653614;0;0;0;0;156.2236489;0;0;0;0
201908;AGENT - 001;6314;0.333333333;0.577350269;0.666666667;1.154700538;254.0341184;0;0;0;0;0;0;0;146.6666667;254.0341184;0.333333333;1;0.577350269;0;0;0;0;0.333333333;1;146.6666667;254.0341184;0;0;0;0;127.0170592;0;0;0;0
201908;AGENT - 002;6347;6.666666667;2.309401077;10;10.39230485;2673.709097;0;0;0;0;0;402.6;599.188084;7893.6;1947.862408;1;1;0;0;0;0;0;0.956689363;1;1173.333333;215.5741003;0;0;0;0;4.958746268;0;0;0;0
201908;AGENT - 004;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
